"user_id","time_UTC","complete","publisher","gender","age","location","survey_weight","answer","response_time"
"514482599","2017-05-22 10:37:56","Complete","News","Female","25-34","US-WEST-MT-Missoula",1.2026517,"Democrat Rob Quist",6050
"516390432","2017-05-23 00:05:00","Complete","News","Female","65+","US-WEST-MT-Missoula",0.8913826,"Democrat Rob Quist",12088
"518580661","2017-05-21 21:04:10","Complete","News","Unknown","Unknown","US-WEST-MT-Bozeman",0,"I am not likely to vote in this election",19908
"518684004","2017-05-23 06:38:35","Complete","News","Female","25-34","US-WEST-MT-Billings",1.2026517,"Democrat Rob Quist",4703
"523037623","2017-05-21 21:44:44","Complete","News","Unknown","Unknown","US-WEST-MT-Missoula",0,"Republican Greg Gianforte",13921
"528990745","2017-05-23 07:03:14","Complete","News","Female","35-44","US-WEST-MT-Missoula",1.0164077,"Republican Greg Gianforte",43610
"531876428","2017-05-21 22:52:22","Complete","Mobile App","Male","18-24","US-WEST-MT-Bozeman",1.1144773,"Libertarian Mark Wicks",22610
"533731709","2017-05-21 10:31:20","Complete","Mobile App","Male","18-24","US-WEST-MT",1.1144773,"Republican Greg Gianforte",9954
"534365870","2017-05-23 07:18:03","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"I am not likely to vote in this election",18078
"535342873","2017-05-23 09:57:36","Complete","News","Male","55-64","US-WEST-MT-Bozeman",0.8816528,"Republican Greg Gianforte",11968
"536731169","2017-05-22 00:59:15","Complete","News","Male","18-24","US-WEST-MT-Butte",1.1144773,"Democrat Rob Quist",6121
"538303477","2017-05-21 18:28:16","Complete","News","Female","25-34","US-WEST-MT-Bozeman",1.2026517,"Democrat Rob Quist",4840
"538700318","2017-05-22 13:56:00","Complete","News","Unknown","Unknown","US-WEST-MT-Butte",0,"I am not likely to vote in this election",11974
"540672578","2017-05-21 23:23:50","Complete","News","Male","25-34","US-WEST-MT-Helena",1.0884159,"I am not likely to vote in this election",8389
"546818383","2017-05-22 22:33:55","Complete","News","Male","55-64","US-WEST-MT",0.8816528,"I am not likely to vote in this election",4230
"551523062","2017-05-21 13:52:25","Complete","Mobile App","Female","35-44","US-WEST-MT-Bozeman",1.0164077,"Democrat Rob Quist",18590
"552442100","2017-05-23 08:31:55","Complete","Mobile App","Male","45-54","US-WEST-MT-Billings",0.9459779,"Republican Greg Gianforte",14797
"561283430","2017-05-21 18:27:34","Complete","News","Female","45-54","US-WEST-MT-Sidney",1.045264,"Republican Greg Gianforte",29866
"562289610","2017-05-23 01:15:20","Complete","News","Female","25-34","US-WEST-MT-Billings",1.2026517,"Republican Greg Gianforte",4467
"566249959","2017-05-21 12:44:34","Complete","News","Unknown","Unknown","US-WEST-MT-Helena",0,"I am not likely to vote in this election",3167
"568780649","2017-05-22 01:48:01","Complete","News","Female","45-54","US-WEST-MT",1.045264,"Republican Greg Gianforte",11566
"568917495","2017-05-22 19:12:29","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"I am not likely to vote in this election",13644
"5693009","2017-05-21 10:31:02","Complete","Mobile App","Male","18-24","US-WEST-MT",1.1144773,"Democrat Rob Quist",10326
"570312091","2017-05-23 08:58:24","Complete","News","Male","45-54","US-WEST-MT",0.9459779,"Republican Greg Gianforte",8233
"572757947","2017-05-22 16:34:22","Complete","News","Unknown","Unknown","US-WEST-MT-Helena",0,"I am not likely to vote in this election",3518
"573859374","2017-05-21 08:29:06","Complete","News","Unknown","Unknown","US-WEST-MT-Billings",0,"Democrat Rob Quist",19737
"574834624","2017-05-21 12:28:09","Complete","News","Female","35-44","US-WEST-MT-Missoula",1.0164077,"Democrat Rob Quist",17127
"575169482","2017-05-22 12:54:02","Complete","News","Female","18-24","US-WEST-MT-Billings",1.2314484,"I am not likely to vote in this election",8513
"582689742","2017-05-22 02:09:59","Complete","News","Female","55-64","US-WEST-MT",0.9741876,"Republican Greg Gianforte",32752
"583968909","2017-05-22 15:36:09","Complete","News","Female","55-64","US-WEST-MT-Bozeman",0.9741876,"Republican Greg Gianforte",6402
"587504519","2017-05-23 00:26:52","Complete","News","Male","55-64","US-WEST-MT",0.8816528,"Democrat Rob Quist",43117
"589785593","2017-05-22 12:05:03","Complete","News","Female","18-24","US-WEST-MT-Bozeman",1.2314484,"I am not likely to vote in this election",16115
"596238912","2017-05-23 01:27:25","Complete","News","Male","65+","US-WEST-MT-Billings",0.8067132,"Republican Greg Gianforte",15971
"598075630","2017-05-23 07:05:06","Complete","News","Female","25-34","US-WEST-MT-Billings",1.2026517,"I am not likely to vote in this election",4166
"601763379","2017-05-22 05:37:05","Complete","News","Unknown","Unknown","US-WEST-MT",0,"I am not likely to vote in this election",7114
"602094453","2017-05-23 04:34:09","Complete","News","Male","45-54","US-WEST-MT-Kalispell",0.9459779,"I am not likely to vote in this election",38021
"607031813","2017-05-22 15:18:40","Complete","News","Male","25-34","US-WEST-MT-Kalispell",1.0884159,"I am not likely to vote in this election",8432
"609105770","2017-05-22 13:57:11","Complete","News","Male","Unknown","US-WEST-MT-Missoula",0,"Democrat Rob Quist",1572
"609494377","2017-05-22 11:21:47","Complete","News","Unknown","Unknown","US-WEST-MT",0,"I am not likely to vote in this election",8404
"611215795","2017-05-21 09:37:26","Complete","News","Male","55-64","US-WEST-MT-Missoula",0.8816528,"Democrat Rob Quist",7626
"614533917","2017-05-21 10:58:44","Complete","Mobile App","Female","45-54","US-WEST-MT",1.045264,"I am not likely to vote in this election",8778
"623826606","2017-05-23 02:50:39","Complete","News","Female","35-44","US-WEST-MT-Helena",1.0164077,"Democrat Rob Quist",14101
"624329736","2017-05-22 05:00:11","Complete","News","Female","18-24","US-WEST-MT",1.2314484,"Democrat Rob Quist",9970
